Configuration item,Key ID,Type,Scale,Unit,Default value,Description
CFG-NAVSPG-CONSTR_ALTVAR,0x401100c2,U4,0.0001,m^2,10000,Fixed altitude variance for 2D mode
CFG-NAVSPG-CONSTR_DGNSSTO,0x201100c4,U1,-,s,60,DGNSS timeout Constants for CFG-NAVSPG-FIXMODE
CFG-NMEA-PROTVER,0x20930001,E1,-,-,41,NMEA protocol version See Constants for CFG-NMEA-PROTVER below for a list of possible constants for this item.
CFG-NMEA-MAXSVS,0x20930002,E1,-,-,0,Maximum number of SVs to report per Talker ID See Constants for CFG-NMEA-MAXSVS below for a list of possible constants for this item.
CFG-NMEA-COMPAT,0x10930003,L,-,-,0,"Enable compatibility mode This might be needed for certain applications, e.g. for an NMEA parser that expects a fixed number of digits in position coordinates."
CFG-NMEA-CONSIDER,0x10930004,L,-,-,1,"Enable considering mode This will affect NMEA output used satellite count. If set, also considered satellites (e.g. RAIMED) are counted as used satellites as well."
CFG-NMEA-LIMIT82,0x10930005,L,-,-,0,Enable strict limit to 82 characters maximum NMEA message length
CFG-NMEA-HIGHPREC,0x10930006,L,-,-,0,Enable high precision mode This flag cannot be set in conjunction with either CFG-NMEA-COMPAT or CFG-NMEA-LIMIT82 Mode.
CFG-NMEA-SVNUMBERING,0x20930007,E1,-,-,0,Display configuration for SVs that do not have value defined in NMEA Configures the display of satellites that do not have an NMEA-defined value. Note. . this does not apply to satellites with an unknown ID.
CFG-NMEA-FILT_GPS,0x10930011,L,-,-,0,Disable reporting of GPS satellites
CFG-NMEA-FILT_SBAS,0x10930012,L,-,-,0,Disable reporting of SBAS satellites
CFG-NMEA-FILT_QZSS,0x10930015,L,-,-,0,Disable reporting of QZSS satellites
CFG-NMEA-FILT_GLO,0x10930016,L,-,-,0,Disable reporting of GLONASS satellites
CFG-NMEA-FILT_BDS,0x10930017,L,-,-,0,Disable reporting of BeiDou satellites
CFG-NMEA-OUT_INVFIX,0x10930021,L,-,-,0,Enable position output for failed or invalid fixes
CFG-NMEA-OUT_MSKFIX,0x10930022,L,-,-,0,Enable position output for invalid fixes
CFG-NMEA-OUT_INVTIME,0x10930023,L,-,-,0,Enable time output for invalid times
CFG-NMEA-OUT_INVDATE,0x10930024,L,-,-,0,Enable date output for invalid dates
CFG-NMEA-OUT_ONLYGPS,0x10930025,L,-,-,0,Restrict output to GPS satellites only
CFG-NMEA-OUT_FROZENCOG,0x10930026,L,-,-,0,Enable course over ground output even if it is frozen
CFG-NMEA-MAINTALKERID,0x20930031,E1,-,-,0,Main Talker ID By default the main Talker ID (i.e. the Talker ID used for all messages other than GSV) is determined by the GNSS assignment of the receiver's channels (see CFG-SIGNAL). This field enables the main Talker ID to be overridden.
CFG-NMEA-GSVTALKERID,0x20930032,E1,-,-,0,Talker ID for GSV NMEA messages By default the Talker ID for GSV messages is GNSS specific (as defined by NMEA). This field enables the GSV Talker ID to be overridden.
CFG-NMEA-BDSTALKERID,0x30930033,U2,-,-,0,"BeiDou Talker ID Sets the two ASCII characters that should be used for the BeiDou Talker ID. If these are set to zero, the default BeiDou TalkerId will be used."
CFG-ODO-USE_ODO,0x10220001,L,-,-,0,Use odometer
CFG-ODO-USE_COG,0x10220002,L,-,-,0,Use low-speed course over ground filter
CFG-ODO-OUTLPVEL,0x10220003,L,-,-,0,Output low-pass filtered velocity
CFG-ODO-OUTLPCOG,0x10220004,L,-,-,0,Output low-pass filtered course over ground (heading)
CFG-ODO-PROFILE,0x20220005,E1,-,-,0,Odometer profile configuration
CFG-ODO-COGMAXSPEED,0x20220021,U1,-,m/s,10,Upper speed limit for low-speed course over ground filter
CFG-ODO-COGMAXPOSACC,0x20220022,U1,-,-,50,Maximum acceptable position accuracy for computing low- speed filtered course over ground
CFG-ODO-VELLPGAIN,0x20220031,U1,-,-,153,Velocity low-pass filter level Range is from 0 to 255.
CFG-ODO-COGLPGAIN,0x20220032,U1,-,-,76,Course over ground low-pass filter level (at speed < 8 m/s) Range is from 0 to 255.
CFG-RATE-MEAS,0x30210001,U2,0.001,s,1000,"Nominal time between GNSS measurements E.g. 100ms results in 10Hz measurement rate, 1000ms = 1Hz measurement rate."
CFG-RATE-NAV,0x30210002,U2,-,-,1,Ratio of number of measurements to number of navigation solutions E.g. 5 means five measurements for every navigation solution. The maximum value is 127.
CFG-RATE-TIMEREF,0x20210003,E1,-,-,1,Time system to which measurements are aligned
CFG-RINV-DUMP,0x10c70001,L,-,-,0,"Dump data at startup When true, data will be dumped to the interface on startup, unless CFG-RINV-BINARY is set."
CFG-RINV-BINARY,0x10c70002,L,-,-,0,"Data is binary When true, the data is treated as binary data."
CFG-RINV-DATA_SIZE,0x20c70003,U1,-,-,22,Size of data Size of data to store/be stored in the Remote Inventory (maximum 30 bytes).
CFG-RINV-CHUNK0,0x50c70004,X8,-,-,0x203a656369746f4e,"Data bytes 1-8 (LSB) Data to store/be stored in Remote Inventory - max 8 bytes, left-most in LSB, e.g. string ABCD will appear as 0x44434241."
CFG-RINV-CHUNK1,0x50c70005,X8,-,-,0x2061746164206f6e,"Data bytes 9-16 Data to store/be stored in Remote Inventory - max 8 bytes, left-most in LSB, e.g. string ABCD will appear as 0x44434241."
CFG-RINV-CHUNK2,0x50c70006,X8,-,-,0x0000216465766173,"Data bytes 17-24 Data to store/be stored in Remote Inventory - max 8 bytes, left-most in LSB, e.g. string ABCD will appear as 0x44434241."
CFG-RINV-CHUNK3,0x50c70007,X8,-,-,0x0000000000000000,"Data bytes 25-30 (MSB) Data to store/be stored in Remote Inventory - max 6 bytes, left-most in LSB, e.g. string ABCD will appear as 0x44434241."
CFG-SBAS-USE_TESTMODE,0x10360002,L,-,-,0,Use SBAS data when it is in test mode (SBAS msg 0)
CFG-SBAS-USE_RANGING,0x10360003,L,-,-,1,Use SBAS GEOs as a ranging source (for navigation)
CFG-SBAS-USE_DIFFCORR,0x10360004,L,-,-,1,Use SBAS differential corrections
CFG-SBAS-USE_INTEGRITY,0x10360005,L,-,-,0,Use SBAS integrity information
CFG-SBAS-PRNSCANMASK,0x50360006,X8,-,-,0x000000000007a389,"SBAS PRN search configuration This configuration item determines which SBAS PRNs should be searched. Setting it to 0 indicates auto-scanning all SBAS PRNs. For non-zero values the bits correspond to the allocated SBAS PRNs ranging from PRN120 (bit 0) to PRN158 (bit 38), where a bit set enables searching for the corresponding PRN."
CFG-SIGNAL-GPS_ENA,0x1031001f,L,-,-,1,GPS enable
CFG-SIGNAL-GPS_L1CA_ENA,0x10310001,L,-,-,1,GPS L1C/A
CFG-SIGNAL-GPS_L2C_ENA,0x10310003,L,-,-,1,GPS L2C (only on u-blox F9 platform products)
CFG-SIGNAL-SBAS_ENA,0x10310020,L,-,-,1,SBAS enable
CFG-SIGNAL-SBAS_L1CA_ENA,0x10310005,L,-,-,0,SBAS L1C/A
CFG-SIGNAL-GAL_ENA,0x10310021,L,-,-,1,Galileo enable
CFG-SIGNAL-GAL_E1_ENA,0x10310007,L,-,-,1,Galileo E1
CFG-SIGNAL-GAL_E5B_ENA,0x1031000a,L,-,-,1,Galileo E5b (only on u-blox F9 platform products)
CFG-SIGNAL-BDS_ENA,0x10310022,L,-,-,1,BeiDou Enable
CFG-SIGNAL-BDS_B1_ENA,0x1031000d,L,-,-,1,BeiDou B1I
CFG-SIGNAL-BDS_B2_ENA,0x1031000e,L,-,-,1,BeiDou B2I (only on u-blox F9 platform products)
CFG-SIGNAL-QZSS_ENA,0x10310024,L,-,-,1,QZSS enable
CFG-SIGNAL-QZSS_L1CA_ENA,0x10310012,L,-,-,1,QZSS L1C/A
CFG-SIGNAL-QZSS_L1S_ENA,0x10310014,L,-,-,0,QZSS L1S
CFG-SIGNAL-QZSS_L2C_ENA,0x10310015,L,-,-,1,QZSS L2C (only on u-blox F9 platform products)
CFG-SIGNAL-GLO_ENA,0x10310025,L,-,-,1,GLONASS enable
CFG-SIGNAL-GLO_L1_ENA,0x10310018,L,-,-,1,GLONASS L1
CFG-SIGNAL-GLO_L2_ENA,0x1031001a,L,-,-,1,GLONASS L2 (only on u-blox F9 platform products)
CFG-SPI-MAXFF,0x20640001,U1,-,-,50,Number of bytes containing 0xFF to receive before switching off reception. Range. . 0(mechanism off)-63
CFG-SPI-CPOLARITY,0x10640002,L,-,-,0,"Clock polarity select. . 0. . Active Hight Clock, SCLK idles low, 1. . Active Low Clock, SCLK idles high"
CFG-SPI-CPHASE,0x10640003,L,-,-,0,"Clock phase select. . 0. . Data captured on first edge of SCLK, 1. . Data captured on second edge of SCLK"
CFG-SPI-EXTENDEDTIMEOUT,0x10640005,L,-,-,0,Flag to disable timeouting the interface after 1.5s
CFG-SPI-ENABLED,0x10640006,L,-,-,0,Flag to indicate if the SPI interface should be enabled
CFG-SPIINPROT-UBX,0x10790001,L,-,-,1,Flag to indicate if UBX should be an input protocol on SPI
CFG-SPIINPROT-NMEA,0x10790002,L,-,-,1,Flag to indicate if NMEA should be an input protocol on SPI
CFG-SPIINPROT-RTCM3X,0x10790004,L,-,-,1,Flag to indicate if RTCM3X should be an input protocol on SPI 6.8.20 CFG-SPIOUTPROT. . Output Protocol Configuration of the SPI Interface Output protocol enable flags of the SPI interface.
CFG-SPIOUTPROT-UBX,0x107a0001,L,-,-,1,Flag to indicate if UBX should be an output protocol on SPI
CFG-SPIOUTPROT-NMEA,0x107a0002,L,-,-,1,Flag to indicate if NMEA should be an output protocol on SPI
CFG-SPIOUTPROT-RTCM3X,0x107a0004,L,-,-,1,Flag to indicate if RTCM3X should be an output protocol on SPI 6.8.21 CFG-TMODE. . Time Mode Configuration Configuration for operation of the receiver in Time Mode. The position referred to in the configuration items is that of the Antenna Reference Point (ARP).
CFG-TMODE-MODE,0x20030001,E1,-,-,0,"Receiver mode; 0 is DISABLED, 1 is SURVEY_IN, 2 is FIXED MODE"
CFG-TMODE-POS_TYPE,0x20030002,E1,-,-,0,Determines whether the ARP position is given in ECEF or LAT/LON/HEIGHT? 0 is ECEF and 1 is Lat/Lon/Height
CFG-TMODE-ECEF_X,0x40030003,I4,-,cm,0,ECEF X coordinate of the ARP position. This will only be used if CFG-TMODE-MODE=FIXED and CFG-TMODE-POS_TYPE=ECEF.
CFG-TMODE-ECEF_Y,0x40030004,I4,-,cm,0,ECEF Y coordinate of the ARP position. This will only be used if CFG-TMODE-MODE=FIXED and CFG-TMODE-POS_TYPE=ECEF.
CFG-TMODE-ECEF_Z,0x40030005,I4,-,cm,0,ECEF Z coordinate of the ARP position. This will only be used if CFG-TMODE-MODE=FIXED and CFG-TMODE-POS_TYPE=ECEF.
CFG-TMODE-ECEF_X_HP,0x20030006,I1,0.1,mm,0,High-precision ECEF X coordinate of the ARP position. Accepted range is -99 to +99. This will only be used if CFG-TMODE-MODE=FIXED and CFG-TMODE-POS_TYPE=ECEF.
CFG-TMODE-ECEF_Y_HP,0x20030007,I1,0.1,mm,0,High-precision ECEF Y coordinate of the ARP position. Accepted range is -99 to +99. This will only be used if CFG-TMODE-MODE=FIXED and CFG-TMODE-POS_TYPE=ECEF.
CFG-TMODE-ECEF_Z_HP,0x20030008,I1,0.1,mm,0,High-precision ECEF Z coordinate of the ARP position. Accepted range is -99 to +99. This will only be used if CFG-TMODE-MODE=FIXED and CFG-TMODE-POS_TYPE=ECEF.
CFG-TMODE-LAT,0x40030009,I4,0.0000001,deg,0,Latitude of the ARP position. This will only be used if CFG-TMODE-MODE=FIXED and CFG-TMODE-POS_TYPE=LLH.
CFG-TMODE-LON,0x4003000a,I4,0.0000001,deg,0,Longitude of the ARP position. This will only be used if CFG-TMODE-MODE=FIXED and CFG-TMODE-POS_TYPE=LLH.
CFG-TMODE-HEIGHT,0x4003000b,I4,-,cm,0,Height of the ARP position. This will only be used if CFG-TMODE-MODE=FIXED and CFG-TMODE-POS_TYPE=LLH.
CFG-TMODE-LAT_HP,0x2003000c,I1,0.000000001,deg,0,High-precision latitude of the ARP position Accepted range is -99 to +99. This will only be used if CFG-TMODE-MODE=FIXED and CFG-TMODE-POS_TYPE=LLH.
CFG-TMODE-LON_HP,0x2003000d,I1,0.000000001,deg,0,High-precision longitude of the ARP position. Accepted range is -99 to +99. This will only be used if CFG-TMODE-MODE=FIXED and CFG-TMODE-POS_TYPE=LLH.
CFG-TMODE-HEIGHT_HP,0x2003000e,I1,0.1,mm,0,High-precision height of the ARP position. Accepted range is -99 to +99. This will only be used if CFG-TMODE-MODE=FIXED and CFG-TMODE-POS_TYPE=LLH.
CFG-TMODE-FIXED_POS_ACC,0x4003000f,U4,0.1,mm,0,Fixed position 3D accuracy
CFG-TMODE-SVIN_MIN_DUR,0x40030010,U4,-,s,0,Survey-in minimum duration This will only be used if CFG-TMODE-MODE=SURVEY_IN.
CFG-TMODE-SVIN_ACC_LIMIT,0x40030011,U4,0.1,mm,0,Survey-in position accuracy limit This will only be used if CFG-TMODE-MODE=SURVEY_IN.
CFG-TP-PULSE_DEF,0x20050023,E1,-,-,0,"Determines whether the time pulse is interpreted as frequency or period? 0 = time pulse in μs, 1 = frequency in Hz"
CFG-TP-PULSE_LENGTH_DEF,0x20050030,E1,-,-,1,"Determines whether the time pulse length is interpreted as length[us] or pulse ratio[%]?; 0 = ratio, 1 = length"
CFG-TP-ANT_CABLEDELAY,0x30050001,I2,0.000000001,s,50,Antenna cable delay
CFG-TP-PERIOD_TP1,0x40050002,U4,0.000001,s,1000000,Time pulse period (TP1)
CFG-TP-PERIOD_LOCK_TP1,0x40050003,U4,0.000001,s,1000000,Time pulse period when locked to GNSS time (TP1) Only used if CFG-TP-USE_LOCKED_TP1 is set.
CFG-TP-FREQ_TP1,0x40050024,U4,-,Hz,1,Time pulse frequency (TP1) This will only be used if CFG-TP-PULSE_DEF=FREQ.
CFG-TP-FREQ_LOCK_TP1,0x40050025,U4,-,Hz,1,Time pulse frequency when locked to GNSS time (TP1) Only used if CFG-TP-USE_LOCKED_TP1 is set.
CFG-TP-LEN_TP1,0x40050004,U4,0.000001,s,0,Time pulse length (TP1)
CFG-TP-LEN_LOCK_TP1,0x40050005,U4,0.000001,s,100000,Time pulse length when locked to GNSS time (TP1) Only used if CFG-TP-USE_LOCKED_TP1 is set.
CFG-TP-DUTY_TP1,0x5005002a,R8,-,%,0,Time pulse duty cycle (TP1) Only used if CFG-TP-PULSE_LENGTH_DEF=RATIO is set.
CFG-TP-DUTY_LOCK_TP1,0x5005002b,R8,-,%,10,Time pulse duty cycle when locked to GNSS time (TP1) Only used if CFG-TP-PULSE_LENGTH_DEF=RATIO and CFG-TP-USE_LOCKED_TP1 are set.
CFG-TP-USER_DELAY_TP1,0x40050006,I4,0.000000001,s,0,User configurable time pulse delay (TP1)
CFG-TP-TP1_ENA,0x10050007,L,-,-,1,"Enable the first timepulse if pin associated with time pulse is assigned for another function, the other function takes precedence. Must be set for frequency-time products."
CFG-TP-SYNC_GNSS_TP1,0x10050008,L,-,-,1,"Sync time pulse to GNSS time or local clock (TP1) If set, sync to GNSS if GNSS time is valid otherwise, if not set or not available, use local clock. Ignored by time-frequency product varients, which will attempt to use the best available time/frequency reference (not necessarily GNSS)."
CFG-TP-USE_LOCKED_TP1,0x10050009,L,-,-,1,"Use locked parameters when possible (TP1) If set, use CFG-TP-PERIOD_LOCK_TP1 and CFG-TP-LEN_LOCK_TP1 as soon as GNSS time is valid, otherwise if not valid or not set, use CFG-TP-PERIOD_TP1 and CFG-TP-LEN_TP1."
CFG-TP-ALIGN_TO_TOW_TP1,0x1005000a,L,-,-,1,"Align time pulse to top of second (TP1) To use this feature, CFG-TP-USE_LOCKED_TP1 must be set. Time pulse period must be an integer fraction of 1 second. Ignored in time-frequency product varients,where it is assumed always enabled."
CFG-TP-POL_TP1,0x1005000b,L,-,-,1,Set time pulse polarity (TP1) false (0) . . falling edge at top of second. true (1) . . rising edge at top of second.
CFG-TP-TIMEGRID_TP1,0x2005000c,E1,-,-,1,"Time grid to use (TP1) Only relevent if CFG-TP-USE_LOCKED_TP1 and ALIGN_TO_TOW_TP1 are set. Note that configured GNSS time is estimated by the receiver if locked to any GNSS system. If the receiver has a valid GNSS fix it will attempt to steer the TP to the specified time grid even if the specified time is not based on information from the constellation's satellites. To ensure timing based purely on a given GNSS, restrict the supported constellations in CFG-SIGNAL-*.; 0 = UTC, 1 = GPS, 2 = GLO, 3 = BDS, 4 = GAL"
CFG-TP-PERIOD_TP2,0x4005000d,U4,0.000001,s,1000000,Time pulse period (TP2)
CFG-TP-PERIOD_LOCK_TP2,0x4005000e,U4,0.000001,s,1000000,Time pulse period when locked to GNSS time (TP2) Only used if CFG-TP-USE_LOCKED_TP2 is set.
CFG-TP-FREQ_TP2,0x40050026,U4,-,Hz,1,Time pulse frequency (TP2) Only used if CFG-TP-PULSE_DEF=FREQ.
CFG-TP-FREQ_LOCK_TP2,0x40050027,U4,-,Hz,1,Time pulse frequency when locked to GNSS time (TP2) Only used if CFG-TP-USE_LOCKED_TP2 is set.
CFG-TP-LEN_TP2,0x4005000f,U4,0.000001,s,0,Time pulse length (TP2)
CFG-TP-LEN_LOCK_TP2,0x40050010,U4,0.000001,s,100000,Time pulse length when locked to GNSS time (TP2) Only used if CFG-TP-USE_LOCKED_TP2 is set.
CFG-TP-DUTY_TP2,0x5005002c,R8,-,%,0,Time pulse duty cycle (TP2) Only used if CFG-TP-PULSE_LENGTH_DEF=RATIO is set.
CFG-TP-DUTY_LOCK_TP2,0x5005002d,R8,-,%,10,Time pulse duty cycle when locked to GNSS time (TP2) Only used if CFG-TP-PULSE_LENGTH_DEF=RATIO and CFG-TP-USE_LOCKED_TP2 are set.
CFG-TP-USER_DELAY_TP2,0x40050011,I4,0.000000001,s,0,User configurable time pulse delay (TP2)
CFG-TP-TP2_ENA,0x10050012,L,-,-,0,Enable the second timepulse
CFG-TP-SYNC_GNSS_TP2,0x10050013,L,-,-,1,Sync time pulse to GNSS time or local clock (TP2)
CFG-TP-USE_LOCKED_TP2,0x10050014,L,-,-,1,Use locked parameters when possible (TP2)
CFG-TP-ALIGN_TO_TOW_TP2,0x10050015,L,-,-,1,Align time pulse to top of second (TP2)
CFG-TP-POL_TP2,0x10050016,L,-,-,1,Set time pulse polarity (TP2)
CFG-TP-TIMEGRID_TP2,0x20050017,E1,-,-,1,"Time grid to use (TP2) Only relevent if CFG-TP-USE_LOCKED_TP1 and ALIGN_TO_TOW_TP1 are set. Note that configured GNSS time is estimated by the receiver if locked to any GNSS system. If the receiver has a valid GNSS fix it will attempt to steer the TP to the specified time grid even if the specified time is not based on information from the constellation's satellites. To ensure timing based purely on a given GNSS, restrict the supported constellations in CFG-SIGNAL-*.; 0 = UTC, 1 = GPS, 2 = GLO, 3 = BDS, 4 = GAL"
CFG-UART1-BAUDRATE,0x40520001,U4,-,-,38400,The baud rate that should be configured on the UART1
CFG-UART1-STOPBITS,0x20520002,E1,-,-,1,"Number of stopbits that should be used on UART1; 0=0.5 stopbits, 1=1 stopbit, 2=1.5 stopbits, 3=2 stopbits"
CFG-UART1-DATABITS,0x20520003,E1,-,-,0,"Number of databits that should be used on UART1; 0=8 databits, 1=7 databits"
CFG-UART1-PARITY,0x20520004,E1,-,-,0,"Parity mode that should be used on UART1; 0=none, 1=odd parity, 2=even parity"
CFG-UART1-ENABLED,0x10520005,L,-,-,1,Flag to indicate if the UART1 should be enabled
CFG-UART1INPROT-UBX,0x10730001,L,-,-,1,Flag to indicate if UBX should be an input protocol on UART1
CFG-UART1INPROT-NMEA,0x10730002,L,-,-,1,Flag to indicate if NMEA should be an input protocol on UART1
CFG-UART1INPROT-RTCM3X,0x10730004,L,-,-,1,Flag to indicate if RTCM3X should be an input protocol on UART1
CFG-UART1OUTPROT-UBX,0x10740001,L,-,-,1,Flag to indicate if UBX should be an output protocol on UART1
CFG-UART1OUTPROT-NMEA,0x10740002,L,-,-,1,Flag to indicate if NMEA should be an output protocol on UART1
CFG-UART1OUTPROT-RTCM3X,0x10740004,L,-,-,1,Flag to indicate if RTCM3X should be an output protocol on UART1
CFG-UART2-BAUDRATE,0x40530001,U4,-,-,38400,The baud rate that should be configured on the UART2
CFG-UART2-STOPBITS,0x20530002,E1,-,-,1,Number of stopbits that should be used on UART2
CFG-UART2-DATABITS,0x20530003,E1,-,-,0,Number of databits that should be used on UART2
CFG-UART2-PARITY,0x20530004,E1,-,-,0,Parity mode that should be used on UART2
CFG-UART2-ENABLED,0x10530005,L,-,-,1,Flag to indicate if the UART2 should be enabled
CFG-UART2-REMAP,0x10530006,L,-,-,0,UART2 Remapping
CFG-UART2INPROT-UBX,0x10750001,L,-,-,0,Flag to indicate if UBX should be an input protocol on UART2
CFG-UART2INPROT-NMEA,0x10750002,L,-,-,0,Flag to indicate if NMEA should be an input protocol on UART2
CFG-UART2INPROT-RTCM3X,0x10750004,L,-,-,1,Flag to indicate if RTCM3X should be an input protocol on UART2
CFG-UART2OUTPROT-UBX,0x10760001,L,-,-,0,Flag to indicate if UBX should be an output protocol on UART2
CFG-UART2OUTPROT-NMEA,0x10760002,L,-,-,0,Flag to indicate if NMEA should be an output protocol on UART2
CFG-UART2OUTPROT-RTCM3X,0x10760004,L,-,-,1,Flag to indicate if RTCM3X should be an output protocol on UART2
CFG-USB-ENABLED,0x10650001,L,-,-,1,Flag to indicate if the USB interface should be enabled
CFG-USB-SELFPOW,0x10650002,L,-,-,1,Self-Powered device
CFG-USB-VENDOR_ID,0x3065000a,U2,-,-,5446,Vendor ID
CFG-USB-PRODUCT_ID,0x3065000b,U2,-,-,425,Vendor ID
CFG-USB-POWER,0x3065000c,U2,-,mA,0,Power consumption
CFG-USB-VENDOR_STR0,0x5065000d,X8,-,-,0x4120786f6c622d75,Vendor string characters 0-7
CFG-USB-VENDOR_STR1,0x5065000e,X8,-,-,0x2e777777202d2047,Vendor string characters 8-15
CFG-USB-VENDOR_STR2,0x5065000f,X8,-,-,0x632e786f6c622d75,Vendor string characters 16-23
CFG-USB-VENDOR_STR3,0x50650010,X8,-,-,0x0000000000006d6f,Vendor string characters 24-31
CFG-USB-PRODUCT_STR0,0x50650011,X8,-,-,0x4720786f6c622d75,Product string characters 0-7
CFG-USB-PRODUCT_STR1,0x50650012,X8,-,-,0x656365722053534e,Product string characters 8-15
CFG-USB-PRODUCT_STR2,0x50650013,X8,-,-,0x0000000072657669,Product string characters 16-23
CFG-USB-PRODUCT_STR3,0x50650014,X8,-,-,0x0000000000000000,Product string characters 24-31
CFG-USB-SERIAL_NO_STR0,0x50650015,X8,-,-,0x0000000000000000,Serial number string characters 0-7
CFG-USB-SERIAL_NO_STR1,0x50650016,X8,-,-,0x0000000000000000,Serial number string characters 8-15
CFG-USB-SERIAL_NO_STR2,0x50650017,X8,-,-,0x0000000000000000,Serial number string characters 16-23
CFG-USB-SERIAL_NO_STR3,0x50650018,X8,-,-,0x0000000000000000,Serial number string characters 24-31
CFG-USBINPROT-UBX,0x10770001,L,-,-,1,Flag to indicate if UBX should be an input protocol on USB
CFG-USBINPROT-NMEA,0x10770002,L,-,-,1,Flag to indicate if NMEA should be an input protocol on USB
CFG-USBINPROT-RTCM3X,0x10770004,L,-,-,1,Flag to indicate if RTCM3X should be an input protocol on USB
CFG-USBOUTPROT-UBX,0x10780001,L,-,-,1,Flag to indicate if UBX should be an output protocol on USB
CFG-USBOUTPROT-NMEA,0x10780002,L,-,-,1,Flag to indicate if NMEA should be an output protocol on USB
CFG-USBOUTPROT-RTCM3X,0x10780004,L,-,-,1,Flag to indicate if RTCM3X should be an output protocol on USB
